show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Sicilia cuenta con una audaz coalición ""antimafia"". Pero, ¿qué sucede cuando quienes intentan acabar con el crimen organizado son acusados ​​de ser ellos mismos delincuentes?"
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Un hombre que lucha por ganarse la vida en Bangkok se une a un servicio de rescate de emergencia y se da cuenta de que debe desentrañar una conspiración en toda la ciudad.
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies","Después de que la mayor parte de su familia es asesinada en un atentado terrorista, una joven, sin saberlo, se ve atraída a unirse al mismo grupo que los mató."
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",,"September 22, 2021",2021,TV-PG,91 min,"Children & Family Movies, Comedies","Cuando Tetê, inteligente pero socialmente incómoda, se une a una nueva escuela, hará cualquier cosa para encajar. Pero la abeja reina entre sus compañeros de clase tiene otras ideas."
s15,TV Show,Crime Stories: India Detectives,,,,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Las cámaras que siguen a la policía de Bengaluru en su trabajo ofrecen una visión poco común del complejo y desafiante funcionamiento interno de cuatro importantes investigaciones criminales.
s16,TV Show,Dear White People,,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas","Los estudiantes de color navegan por los desaires diarios y las políticas resbaladizas de la vida en una universidad de la Ivy League que no es tan ""post-racial"" como se cree."
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies","Documentos desclasificados revelan la vida posterior a la Segunda Guerra Mundial de Otto Skorzeny, un aliado cercano de Hitler que escapó a España y se convirtió en asesor de presidentes mundiales."
s18,TV Show,Falsa identidad,,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Los desconocidos Diego e Isabel huyen de su hogar en México y fingen ser una pareja casada para escapar de sus enemigos traficantes de drogas y de su marido abusivo.
s19,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",,"September 22, 2021",2021,TV-14,94 min,Thrillers,"Después de un asalto mortal a la nueva casa de sus sueños de una pareja, la esposa traumatizada busca respuestas y descubre que el verdadero peligro apenas comienza."
s20,TV Show,Jaguar,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,,"September 22, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","A finales de la década de 1970, un violador en serie acusado afirma que múltiples personalidades controlan su comportamiento, lo que desencadena una odisea legal que cautiva a Estados Unidos."
s22,TV Show,Resurrection: Ertugrul,,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","Cuando una buena acción pone en peligro a su clan sin saberlo, un guerrero turco del siglo XIII acepta luchar contra los enemigos de un sultán a cambio de nuevas tierras tribales."
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",,"September 21, 2021",1996,TV-PG,161 min,"Comedies, International Movies","Recién divorciado y al que se le niegan los derechos de visita de su hija, un padre cariñoso se disfraza de niñera canosa para pasar tiempo con ella."
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",,"September 21, 2021",2021,TV-Y,61 min,Children & Family Movies,"Desde juegos de arcade hasta días de trineo y curas para el hipo, Chrissy, la curiosa hermana pequeña de Cory Carson, viaja sola en busca de diversión y aventuras por toda la ciudad."
s25,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,"September 21, 2021",1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies","Cuando el padre del hombre que ama insiste en que sus hijos gemelos se casen con hermanas gemelas, una mujer crea un alter ego que podría resultar demasiado convincente."
s26,TV Show,Love on the Spectrum,,Brooke Satchwell,Australia,"September 21, 2021",2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV","Encontrar el amor puede ser difícil para cualquiera. Para los adultos jóvenes en el espectro del autismo, explorar el impredecible mundo de las citas es aún más complicado."
s27,Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",,"September 21, 2021",1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals","Se produce un enredado triángulo amoroso cuando un hombre se enamora de una mujer que estudia para ser monja, y ella se enamora del amigo que él recluta para que lo ayude a perseguirla."
s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,"September 20, 2021",2010,PG-13,103 min,Comedies,"De luto por la pérdida de su querido entrenador de baloncesto de la secundaria, cinco amigos de mediana edad se reúnen en una casa en el lago y redescubren la alegría de ser niños."
s29,Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,"September 19, 2021",2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",La idílica vida suburbana de una familia se hace añicos cuando una fuerza alienígena invade su hogar y mientras luchan por convencer a otros de la amenaza mortal.
s30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France","September 19, 2021",2013,PG-13,106 min,Thrillers,"Chantajeado por el director general de su empresa, un empleado de bajo nivel se ve obligado a espiar al rival y antiguo mentor del jefe."
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",,"September 17, 2021",2021,TV-14,111 min,"Dramas, Independent Movies, International Movies","Mientras la vida de la gran ciudad bulle a su alrededor, las almas solitarias descubren sorprendentes fuentes de conexión y compañerismo en tres historias de amor, pérdida y anhelo."
s32,TV Show,Chicago Party Aunt,,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",,"September 17, 2021",2021,TV-MA,1 Season,TV Comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
s33,TV Show,Sex Education,,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,"September 17, 2021",2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies","El inseguro Otis tiene todas las respuestas cuando se trata de consejos sexuales, gracias a su madre terapeuta. Entonces la rebelde Maeve propone una clínica de terapia sexual en la escuela."
s34,TV Show,Squid Game,,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",,"September 17, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers","Cientos de jugadores con problemas de liquidez aceptan una extraña invitación para competir en juegos infantiles. En el interior, aguarda un premio tentador, con mucho en juego."
s35,TV Show,Tayo and Little Wizards,,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",,"September 17, 2021",2020,TV-Y7,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",,"September 17, 2021",2021,TV-MA,110 min,"Dramas, International Movies, Thrillers","Cuando su hijo desaparece durante una caminata nevada por las montañas, un oficial de inteligencia retirado no se detendrá ante nada (y lo arriesgará todo) para encontrarlo."
s37,Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",,"September 17, 2021",2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies","Cansados ​​de la rutina de poca monta, tres policías de Marsella tienen la oportunidad de desmantelar una importante red de drogas. Pero las líneas se difuminan cuando un informante clave hace una gran pregunta."
s38,TV Show,Angry Birds,,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,"September 16, 2021",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies","Birds Red, Chuck y sus amigos emplumados tienen muchas aventuras mientras protegen los huevos en su nido que los molestos cerdos siguen intentando robar."
s39,Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States","September 16, 2021",2017,PG-13,96 min,"Action & Adventure, Dramas","Un joven Bruce Lee enfurece a los tradicionalistas del kung fu al enseñar a extraños, lo que lleva a un enfrentamiento con un maestro Shaolin en esta película basada en hechos reales."
s40,TV Show,Chhota Bheem,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,"September 16, 2021",2021,TV-Y7,3 Seasons,Kids' TV,Un niño valiente y enérgico con poderes sobrehumanos lleva a sus amigos a emocionantes aventuras para proteger a sus compañeros aldeanos de Dholakpur del mal.
s41,TV Show,He-Man and the Masters of the Universe,,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,"September 16, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",El poderoso adolescente Adam y su heroico escuadrón de inadaptados descubren el poder legendario de Grayskull y su destino de defender Eternia del siniestro Skeletor.
s42,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,"September 16, 2021",1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas","Cuando un insaciable gran tiburón blanco aterroriza a Amity Island, un jefe de policía, un oceanógrafo y un canoso cazador de tiburones buscan destruir a la bestia."
s43,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,"September 16, 2021",1978,PG,116 min,"Dramas, Horror Movies, Thrillers","Cuatro años después de los últimos ataques mortales de tiburones, el jefe de policía Martin Brody lucha para proteger la isla Amity de otro gran tiburón blanco asesino."
s44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,"September 16, 2021",1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers","Después de que el personal de un parque temático marino intenta capturar a un joven gran tiburón blanco, descubren que su madre ha invadido el recinto y busca sangre."
s45,Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,"September 16, 2021",1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers","Después de otro ataque mortal de tiburón, Ellen Brody se cansó de Amity Island y se mudó al Caribe, pero un gran tiburón blanco la siguió hasta allí."
s46,Movie,My Heroes Were Cowboys,Tyler Greco,,,"September 16, 2021",2021,PG,23 min,Documentaries,"La dolorosa infancia de Robin Wiltshire fue rescatada por los westerns. Ahora vive en la frontera de sus sueños, entrenando a los caballos que ama para la pantalla grande."
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,El joven agente de la CIA Matt Weston debe sacar a un criminal peligroso de una casa segura de la agencia que ha sido atacada y llevarlo a un lugar más seguro.
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",,"September 16, 2021",2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Cinco millennials glamorosos luchan por alcanzar el éxito mientras hacen malabares con sus carreras, sus finanzas, su amor y sus amistades. Basado en la novela más vendida de 2016 de Arese Ugwu."
s49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,"September 16, 2021",2001,R,122 min,"Dramas, Thrillers",Un policía novato con un día para demostrar su valía ante un veterano oficial de narcóticos de la policía de Los Ángeles recibe un curso intensivo sobre el cuestionable tipo de justicia de su mentor.
s50,TV Show,Castle and Castle,,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,"September 15, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas","Un par de abogados exitosos y poderosos se encuentran defendiendo intereses opuestos del sistema de justicia, lo que pone en peligro su feliz matrimonio."
s51,TV Show,Dharmakshetra,,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,"September 15, 2021",2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","Después de la antigua Gran Guerra, el dios Chitragupta supervisa un juicio para determinar quiénes fueron los verdaderos héroes y villanos de la batalla."
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,"September 15, 2021",2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies","Con su mayor enemigo aparentemente derrotado, InuYasha y sus amigos regresan a la vida cotidiana. Pero la paz pronto se ve destrozada por un nuevo enemigo emergente."
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,"September 15, 2021",2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",El Gran Perro Demonio legó una de las Tres Espadas del Colmillo a cada uno de sus dos hijos. Ahora se ha despertado el poder maligno de la tercera espada.
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,"September 15, 2021",2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies","Ai, una joven mitad demonio que ha escapado de la isla Horai para intentar ayudar a su gente, regresa con sus potenciales salvadores InuYasha, Sesshomaru y Kikyo."
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,"September 15, 2021",2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies","Un poderoso demonio ha estado encerrado durante 200 años. Pero cuando el hijo del demonio despierta, el destino del mundo está en peligro."
s56,TV Show,Nailed It,,"Nicole Byer, Jacques Torres",United States,"September 15, 2021",2021,TV-PG,6 Seasons,Reality TV,Panaderos caseros con un historial terrible intentan recrear obras maestras comestibles por un premio de 10.000 dólares. Es en parte un concurso de realidad y en parte un desastre...
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,"September 15, 2021",2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies","Acusado erróneamente de un ataque al Cuarto Raikage, el ninja Naruto es encarcelado en el impenetrable Castillo Hozuki y sus poderes están sellados."
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,"September 15, 2021",2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies","Cuando extraños ninjas tienden una emboscada a la aldea de Konohagakure, le toca al adolescente ninja Naruto y a su amigo desaparecido, Sasuke, salvar el planeta."
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,"September 15, 2021",2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies","Cuando cuatro de cinco aldeas ninja son destruidas, el líder de la que se salvó intenta encontrar al verdadero culpable y proteger su tierra."
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,"September 15, 2021",2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","Las aventuras del adolescente ninja Naruto Uzumaki continúan mientras tiene la tarea de proteger a una sacerdotisa de un demonio, pero para hacerlo, debe morir."
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,"September 15, 2021",2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies","Cuando envían a Naruto a recuperar a un ninja desaparecido, el pícaro logra enviarlo 20 años al pasado, donde se une a su padre para luchar contra el mal."
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,"September 15, 2021",2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies","Mientras se encuentra en una misión para devolver una mascota perdida, Naruto y dos compañeros ninjas son emboscados por brutales caballeros liderados por el enigmático Temujin."
